title,author,preview
"<a href=""https://n.news.naver.com/mnews/article/001/0013323789?sid=001"" class=""nclicks(fls.list)"">
								 탈북민들에게 질문하는 신원식 국가안보문란 실태조사 TF 부위원장
								</a>",연합뉴스,국민의힘 신원식 국가안보문란 실태조사 TF 부위원장이 20일 서울 여의도 국회 의원회관에서 열린 국가안보문란 실태조사 TF 3차 …
"<a href=""https://n.news.naver.com/mnews/article/001/0013323788?sid=001"" class=""nclicks(fls.list)"">
								 충북 16시 705명 확진…전날보다 175명↓
								</a>",연합뉴스,20일 0시부터 오후 4시까지 충북에서 신종 코로나바이러스 감염증(코로나19) 확진자 705명이 추가 발생했다. 전날 같은 시간 …
"<a href=""https://n.news.naver.com/mnews/article/001/0013323787?sid=001"" class=""nclicks(fls.list)"">
								 호주, 코로나19 재유행에 재택근무·실내 마스크 착용 촉구
								</a>",연합뉴스,"호주 정부가 20일(현지시간) 겨울철 신종 코로나바이러스 감염증(코로나19) 재확산 방지를 위해 재택근무와 실내 마스크 착용,  …"
"<a href=""https://n.news.naver.com/mnews/article/016/0002018311?sid=001"" class=""nclicks(fls.list)"">
								 ‘글로벌 석학’ 카난 라마스와미 교수 “SK가 그린워싱? 근거 없고 정당치도 않은 주장”
								</a>",헤럴드경제,카난 라마스와미 미국 애리조나 주립대 썬더버드 경영대학원 교수는 SK이노베이션의 그린 트랜스포메이션(친환경 전환) 전략에 대한  …
"<a href=""https://n.news.naver.com/mnews/article/014/0004870534?sid=001"" class=""nclicks(fls.list)"">
								 ""이제는 치료제株""...코로나 재유행에 관련주 순환매 올까
								</a>",스포츠조선,식물성 푸드 브랜드 브라잇벨리(BriteBelly)는 지난 18일 오전 에딧시티 프로젝트와 비건도시(비교적 건강한 도시) 공동캠 …
"<a href=""https://n.news.naver.com/mnews/article/016/0002018310?sid=001"" class=""nclicks(fls.list)"">
								 초등생, 코로나 확진 사흘만에 사망...기저질환 없어
								</a>",파이낸셜뉴스,"코로나19 재유행에 코로나19 치료제 관련주들이 강세를 보이고 있다. 진단 키트주와 백신주에 이어, 또 한 번 코로나 순환매(관 …"
"<a href=""https://n.news.naver.com/mnews/article/028/0002599360?sid=001"" class=""nclicks(fls.list)"">
								 코로나19로 막혔던 인천~베이징 하늘길 다시 열린다
								</a>",헤럴드경제,세종시의 한 초등학생이 코로나19 확진 사흘만에 사망했다. 20일 세종시에 따르면 초등학교 3학년인 A양(8)은 지난 15일 지 …
"<a href=""https://n.news.naver.com/mnews/article/081/0003288680?sid=001"" class=""nclicks(fls.list)"">
								 제2공항 추진 속도 다른 국토부·제주도
								</a>",한겨레,코로나19 확산으로 막혔던 인천~베이징 하늘길이 2년4개월만에 다시 열렸다. 아시아나항공은 국토교통부와 중국 방역당국의 승인을  …
"<a href=""https://n.news.naver.com/mnews/article/030/0003031885?sid=001"" class=""nclicks(fls.list)"">
								 경희사이버대, 2차 신·편입생 모집
								</a>",서울신문,국토교통부와 제주도가 제2공항 추진을 놓고 속도차를 보이고 있다. 국토교통부는 제2공항을 거점공항을 추진하겠다며 속도를 내고 있 …
"<a href=""https://n.news.naver.com/mnews/article/028/0002599359?sid=001"" class=""nclicks(fls.list)"">
								 박진, 강제동원 관련 “일본도 한국 노력에 호응할 것이라고 느껴”
								</a>",전자신문,경희사이버대학교는 오는 22일부터 8월 16일까지 2022학년도 2학기 신·편입생을 모집한다고 20일 밝혔다. 경희사이버대학교는 …
