title,author,preview
"<a href=""https://n.news.naver.com/mnews/article/077/0005660589?sid=001"" class=""nclicks(fls.list)"">
								 India Protest
								</a>",AP연합뉴스,Various opposition parties lawmakers shout slogans during a protest in  …
"<a href=""https://n.news.naver.com/mnews/article/077/0005660588?sid=001"" class=""nclicks(fls.list)"">
								 India Protest
								</a>",AP연합뉴스,Various opposition parties lawmakers shout slogans during a protest in  …
"<a href=""https://n.news.naver.com/mnews/article/001/0013323778?sid=001"" class=""nclicks(fls.list)"">
								 제주4·3평화공원 찾은 한덕수 총리
								</a>",연합뉴스,"한덕수 국무총리(왼쪽 두 번째)가 20일 오후 제주시 봉개동 4·3평화공원을 방문, 제주4·3사건희생자영위에 참관한 뒤 나오고  …"
"<a href=""https://n.news.naver.com/mnews/article/001/0013323777?sid=001"" class=""nclicks(fls.list)"">
								 제주 시민단체 ""윤석열 정부, 도민 비판 귀 닫고 제2공항 강행""
								</a>",연합뉴스,정부의 제2공항 추진 입장에 대해 제주 시민사회단체가 비판하고 나섰다. 제주도 내 100여 개 단체로 구성된 제2공항강행저지비상 …
"<a href=""https://n.news.naver.com/mnews/article/014/0004870531?sid=001"" class=""nclicks(fls.list)"">
								 대학내 보행자 보호의무 강화…""근데 누가 단속해요?""
								</a>",파이낸셜뉴스,이달 초 도로교통법 개정으로 캠퍼스 도로 내 보행자 보호 의무가 강화됐지만 단속 주체가 불분명한 탓에 정책적 실효성이 떨어진다는 …
"<a href=""https://n.news.naver.com/mnews/article/079/0003666444?sid=001"" class=""nclicks(fls.list)"">
								 나주 SRF발전소문제 해결을 위한 '국무조종실 중재안' 탄력받나
								</a>",노컷뉴스,"나주 SRF 발전소 가동을 둘러싼 법적분쟁이 일단락된 가운데 대법원 판결 이후 처음으로 나주시와 한국지역난방공사, 광주시 등 관 …"
"<a href=""https://n.news.naver.com/mnews/article/079/0003666443?sid=001"" class=""nclicks(fls.list)"">
								 포스코스틸리온, 걸음 기부 캠페인 적립금 아동시설 전달
								</a>",노컷뉴스,포스코스틸리온(대표이사 윤양수 사장)이 20일 임직원이 직접 참여하는 걸음 기부 캠페인을 통해 적립된 기부금 770만원을 포항  …
"<a href=""https://n.news.naver.com/mnews/article/031/0000686791?sid=001"" class=""nclicks(fls.list)"">
								 하이투자증권, 키움코어리테일제1호리츠 비상장 우선주 일반 공모
								</a>",아이뉴스24,하이투자증권은 오는 26~28일 키움코어리테일제1호위탁관리부동산투자회사(리츠)의 일반 고객 대상 비상장 우선주 청약을 진행한다고 …
"<a href=""https://n.news.naver.com/mnews/article/018/0005272896?sid=001"" class=""nclicks(fls.list)"">
								 ‘긴박해지는 대우조선 파업’…이정식 고용장관 이틀 연속 거제로
								</a>",이데일리,이정식 고용노동부 장관이 49일째 이어지고 있는 대우조선해양 하청노조 파업 현장인 경남 거제로 전날에 이어 또 향했다. 이정식  …
"<a href=""https://n.news.naver.com/mnews/article/031/0000686790?sid=001"" class=""nclicks(fls.list)"">
								 [팩트체크] 현금서비스 받은 사실 하나만으로 신용점수 하락?
								</a>",아이뉴스24,"""쉽게 찾아 바로 쓰는 방법, 1만원부터 부담 없이 단기카드대출을 이용해보세요!"" 자금 융통이 어려운 요즘 신용카드사에서 오는  …"
"<a href=""https://n.news.naver.com/mnews/article/088/0000767431?sid=001"" class=""nclicks(fls.list)"">
								 경찰 ""김혜경 법인카드 유용 의혹 수사, 내달 중순 마무리 예정""
								</a>",매일신문,경찰이 이재명 더불어민주당 의원 부인 김혜경 씨의 '법인카드 유용 의혹' 수사를 다음 달 중순쯤 마무리할 계획이라고 20일 밝혔 …
"<a href=""https://n.news.naver.com/mnews/article/079/0003666442?sid=001"" class=""nclicks(fls.list)"">
								 여성 납치해 돈 빼앗고 성폭행…중국인들 2심도 실형[영상]
								</a>",노컷뉴스,여성을 납치해 돈을 빼앗고 성폭행까지 한 불법체류 중국인들이 2심에서도 실형을 받았다. 20일 광주고등법원 제주제1형사부(재판장 …
"<a href=""https://n.news.naver.com/mnews/article/030/0003031883?sid=001"" class=""nclicks(fls.list)"">
								 2023학년도 수시 대입 정보박람회 개최
								</a>",전자신문,전국 149개 대학이 참가한 '2023학년도 수시 대학입학정보박람회'가 20일 서울 강남구 삼성동 코엑스에서 나흘 일정으로 개최 …
"<a href=""https://n.news.naver.com/mnews/article/662/0000003794?sid=001"" class=""nclicks(fls.list)"">
								 윤준병 의원, 초과 생산쌀 정부 의무매입 ‘양곡관리법 개정안’ 발의
								</a>",농민신문,"쌀값 급락 방지위해 ‘쌀 초과생산량 매입’ 강제규정으로 변경 윤준병 더불어민주당 의원(전북 정읍·고창, 사진)은 20일 쌀 초과 …"
"<a href=""https://n.news.naver.com/mnews/article/215/0001043875?sid=001"" class=""nclicks(fls.list)"">
								 물가 상승기에 '가성비' 통했다…hy, 상반기 밀키트 매출 30% ↑
								</a>",한국경제TV,hy 밀키트가 최근 물가 상승 여파로 매출이 급증한 것으로 나타났다. hy는 올해 상반기 밀키트 매출이 지난해 같은 기간보다 3 …
"<a href=""https://n.news.naver.com/mnews/article/421/0006230285?sid=001"" class=""nclicks(fls.list)"">
								 코스피, 상승 마감
								</a>",뉴스1,= 20일 서울 여의도 KB국민은행 스마트딜링룸 전광판에 코스피 지수가 전날 대비 15.88p(0.67%) 오른 2386.85를 …
"<a href=""https://n.news.naver.com/mnews/article/421/0006230284?sid=001"" class=""nclicks(fls.list)"">
								 코로나19 재유행으로 인해 재설치되는 비접촉 면회소
								</a>",뉴스1,= 신종 코로나바이러스 감염증(코로나19) 신규 확진자가 폭발적인 증가세를 보이며 본격적인 재유행 단계에 들어선 가운데 방역당국 …
"<a href=""https://n.news.naver.com/mnews/article/277/0005120759?sid=001"" class=""nclicks(fls.list)"">
								 함양군의회, 제270회 임시회 7일간 연다
								</a>",아시아경제,경남 함양군의회는 7월 20일부터 26일까지 7일간의 일정으로 제270회 임시회에 들어갔다. 이번 임시회는 전반기 의장단 선출  …
"<a href=""https://n.news.naver.com/mnews/article/421/0006230283?sid=001"" class=""nclicks(fls.list)"">
								 대전한밭도서관, 독서아카데미 3차 강연 개최
								</a>",뉴스1,대전한밭도서관은 ‘2022년 독서아카데미’ 3차 강연을 개최한다고 20일 밝혔다. 3차 강연은 윤새라 울산과학기술원(UNIST) …
